T:name: mexicue loc:oren's daily roast, tweet: 675093581154119680  :  tbrandstudio dev holiday party #uglysweater #uglysweaterparty @ mexicue kitchen  bar @link (40.7543716,-73.9862823)27978869
T:name: dassara loc:zombie hut, tweet: 675093654286016512  :  falafel buns @ dassara ramen @link (40.6825714,-73.9929733)385711852
T:name: xes lounge loc:one star, tweet: 675094666526724097  :  meeting @edlesh! (@ xes lounge  @xesnyc in new york ny @link (40.74455837,-73.9942503)290187508
T:name: the lambs club loc:jimmy's corner, tweet: 675097883251707904  :  what a #stunning #champagne  laurentperrierofficial grand siècle @thelambsclub @ the lambs club @link (40.75656554,-73.98468519)634831191
T:name: vintry loc:smorgas chef/ crepes du nord, tweet: 675098838437359616  :  shots inpoint crew  @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
M:name: westville loc:city cakes, tweet: 675099240109113348  :  im at westville chelsea in new york ny @link (40.74204,-73.99999)85419044
T:name: bob bar loc:spaghetti incident, tweet: 675099666162311169  :  thru #knowledge  #hiphop sounded backward #people  ninjacbny robgreennyc @ bob bar @link (40.7223129,-73.9900055)771972019
T:name: vintry loc:smorgas chef/ crepes du nord, tweet: 675101602232037376  :   #ho #ho #ho  @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
T:name: fig and olive loc:valbella n.y., tweet: 675101953286868992  :  im at fig  olive  @figandoliveny in new york ny @link (40.74071594,-74.00694229)18634135
T:name: burger heaven loc:le pain quotidien, tweet: 675102894597808128  :  im at @burgerheavenny in new york ny @link (40.76028219,-73.9750397)20950804
T:name: vintry loc:smorgas chef/ crepes du nord, tweet: 675103509403049985  :  tev #ho #ho #hoing  @ vintry wine  whiskey @link (40.7045174,-74.0103149)103654795
T:name: pianos loc:bisous, ciao., tweet: 675107884586434560  :  im at @pianosnyc in new york ny @link (40.72111085,-73.98786106)25564156
T:name: rock bar loc:heermance farm purveyors, tweet: 675110214048292864  :   @ rockbar nyc @link (40.7326889,-74.009697)10933462
T:name: negril loc:kopi kopi, tweet: 675113776195178496  :  #littt #negrilvillagenyc #idj @ negril village @link (40.7293282,-73.9984283)27017561
T:name: rebounds sports burger bar loc:carrot top pastries ii, tweet: 675117891545661440  :  @reboundsnyc #rebounds sports burger bar  @link great hidden @link (40.869579,-73.916741)421095102
T:name: mp taverna loc:subway, tweet: 675118432334036992  :  cod fish fritters mptavernany #delish #eatlocal #astoria #nyceats #nyc #astoriaeats #yummy… @link (40.77549389,-73.90972915)168551239
T:name: champs junior loc:sapporo ichiban, tweet: 675118527137869826  :  im at champs junior in brooklyn ny @link (40.723608,-73.95072)126443794
T:name: negril loc:kopi kopi, tweet: 675119112461418496  :  #dance #contest @ negril village @link (40.7293282,-73.9984283)27017561
T:name: astoria loc:bistro 33, tweet: 675128366584958978  :  im at @astoriabeerbrew in astoria ny @link (40.78067142,-73.91674519)125467647
T:name: once upon a tart loc:rabbits, tweet: 675131016684691458  :  im at @onceuponatart in new york ny @link (40.726836,-74.002086)295392822
T:name: yupdduk loc:mad for chicken, tweet: 675131231730814977  :  im at yupdduk ??? ????? in flushing ny @link (40.763519,-73.80768)271171136
T:name: bob bar loc:spaghetti incident, tweet: 675131814940418048  :  just posted a photo @ bob bar @link (40.7223129,-73.9900055)5483482
T:name: webster hall loc:veniero's pasticceria & cafe, tweet: 675132032180199427  :  ballyhoo (@ the marlin room at webster hall  @marlinatwebster in new york ny @link (40.73160035,-73.98927212)306344737
T:name: barrage loc:fuel, tweet: 675134494555418624  :  #tbt friends night out josedalvarez #nyc #manhattan #barrage #top #love #loveit #friendship… @link (40.7617874,-73.9903946)34720138
T:name: waldorf astoria loc:sir harry's, tweet: 675136195572158465  :  #headdress #queen #crown #partytime #nyc @ waldorf astoria new york @link (40.75652616,-73.97354189)163889868
T:name: an choi loc:dudleys, tweet: 675136727024058368  :  just another night in the lower east side with cameo appearance by chef lekhac @ an choi @link (40.7178841,-73.9905319)24139621
T:name: negril loc:kopi kopi, tweet: 675139487509409792  :  bachatta #time @ negril village @link (40.7293282,-73.9984283)27017561
T:name: spot loc:sing sing karaoke, tweet: 675142922715668484  :  the spot @ spot dessert bar @link (40.72923167,-73.98911677)27465925
T:name: obao loc:solera restaurant, tweet: 675146659945390081  :  im at obao midtown  @obaony_midtown in new york ny @link (40.75719692,-73.96878004)55285126
T:name: tropical 128 loc:piacere, tweet: 675148571583324160  :  im at @tropical128 in new york ny @link (40.71968945,-73.99528718)496145898
