name: little skips outpost loc:little mo, tweet: 674626901944700929  :  im at little skips outpost in brooklyn ny @link (40.697177,-73.93372)19415070
name: facebook loc:butterfield cafe, tweet: 674629510453526528  :  just posted a photo @ facebook ny @link (40.73069144,-73.99154129)74872238
name: stumptown coffee loc:lasani restaurant, tweet: 674633169610653697  :  getting a lil work done at @stumptowncoffee roasters in new york ny @link (40.74590156,-73.98814227)36143173
name: conde nast loc:one world observatory, tweet: 674634499993575424  :  im at vogue magazine  @condenast in new york ny w @3dbillionaire @link (40.71308371,-74.01336348)919860212
name: phd loc:cherry, tweet: 674635562624622592  :   daniellekandel @ phd rooftop lounge at dream downtown @link (40.74237462,-74.00336432)54708669
name: johnny rockets loc:sherwood to go, tweet: 674635662386143236  :  pre gaming for work at @johnnyrockets in new york ny @link (40.75965,-73.968203)232093264
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674641924461043713  :  xoxo gg @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)24177579
name: tasty cafe loc:bella napoli, tweet: 674644357497122816  :  im at @tastycafe in new york ny @link (40.745678,-73.98454503)6938352
name: lighthouse loc:wei williamsburg, tweet: 674644718874189824  :  cocktail class thanks again @insidehook @ lighthouse @link (40.71073648,-73.95365065)215450012
name: magnolia bakery loc:david burke at bloomingdale's, tweet: 674654902845599745  :  im at magnolia bakery in new york ny @link (40.76183722,-73.96639824)184937439
name: vapiano loc:bar 13, tweet: 674655857230094337  :  swift li aziz chris at @vapianonyc in new york ny @link (40.73448624,-73.99211361)67220142
name: waldorf astoria loc:waldorf astoria hotel, tweet: 674657092473458688  :  name that movie @ waldorf astoria new york @link (40.75652616,-73.97354189)2815212045
name: jeepney loc:sao mai vietnamese cuisine, tweet: 674661436325367808  :  #filipina @ jeepney @link (40.73027872,-73.98338356)82306739
name: smoocha loc:soju haus, tweet: 674669342584389632  :  #tea is always a good idea...#pumpkinspice #teabreak with @iamsheilaj @ smoocha @link (40.7468681,-73.9851837)460855541
name: the manhattan at times square loc:ellen's stardust diner, tweet: 674670913900580865  :  im at the manhattan at times square hotel  @mtshotel in new york ny w @chum31 @link (40.76185347,-73.98313522)88247109
name: kobeyaki loc:crisp, tweet: 674672957873102849  :  im at @kobeyaki in new york ny @link (40.75387,-73.98581)44814719
name: cachapas y mas loc:809 grill & bar restaurant, tweet: 674674643844886528  :  im at cachapas y mas in new york ny @link (40.86199719,-73.92503746)251648051
name: crif dogs loc:acqua santa, tweet: 674676461182259200  :  im at @crifdogs in brooklyn ny @link (40.717006,-73.956565)53828573
name: naya express loc:muldoons bar, tweet: 674676857523019776  :  im at @nayaexpress in new york ny @link (40.75180398,-73.97389756)93890121
name: double dutch espresso loc:mess hall, tweet: 674684213799624704  :  #treatyoself  @ double dutch espresso @link (40.8058357,-73.9541321)262868081
name: il corallo loc:spice, tweet: 674687529015226369  :  lunch in soho #nyc (@ il corallo trattoria in new york ny @link @link (40.726298,-74.001899)104757009
name: shake shack loc:cafe frida, tweet: 674693793455677440  :  classics ???#shakeshack #nyc #newyork #foodphotography #foodpics #foodie #food #foodporn… @link (40.7809563,-73.9763947)267284252
name: breads bakery loc:university market place, tweet: 674695710349094916  :  im at @breadsbakery in new york ny @link (40.73680337,-73.99171829)19848818
name: sant ambroeus loc:extra virgin, tweet: 674701538019807232  :  domenico dolce sighting new york new york sant ambroeus @link (40.7354,-74.0031)81237494
name: sony club loc:sony music employee cafeteria, tweet: 674705126767140864  :  p a r t y  (@ sony club in new york ny @link (40.76147701,-73.97332936)55137681
name: facebook loc:butterfield cafe, tweet: 674707693207085056  :  oh you know just a little meeting with my friends at henrileporedezert and instagram @ facebook ny @link (40.73069144,-73.99154129)23990165
name: totto ramen loc:ahi sushi, tweet: 674711018363355136  :  #tottoramen #nyc #hellskitchen @ totto ramen @link (40.7643318,-73.9876633)262716122
name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 674711826488287233  :  #nuecreative @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)20900388
name: city swiggers loc:maz mezcal, tweet: 674712094416203776  :  christmas tree at city swiggers 320 e 86th street btwn 1st  2nd ave manhattan 900 craft beer @link (40.7772408,-73.9510269)395386243
name: blind tiger loc:bantam bagels, tweet: 674712804549632000  :  drinking a harlan by @hillfarmstead at @blindtigernyc  @link (40.7319,-74.0033)32414366
name: 2 bros pizza loc:rogue, tweet: 674713775052890112  :  im at @2brospizza in new york ny @link (40.74419837,-73.99190127)14855916
name: double dutch espresso loc:mess hall, tweet: 674717863677198337  :  study break @ double dutch espresso @link (40.8058357,-73.9541321)509013762
name: black tap loc:chalk point kitchen, tweet: 674722267855773697  :  ?????#blacktop #itis @ black tap craft burgers  beer @link (40.723774,-74.0041504)301758076
name: the new york palace hotel loc:pomme palais @ the palace hotel, tweet: 674723248383401984  :  my bae under the palace tree  @ the new york palace hotel @link (40.7580735,-73.9752305)40432284
name: new york stock exchange loc:new york stock exchange executive services, tweet: 674726474629423105  :  just posted a photo @ new york stock exchange @link (40.70666667,-74.01138889)27829131
name: the new york palace hotel loc:lobby lounge and trouble's trust @ the palace hotel, tweet: 674729852348588032  :  my bae under the palace tree #engaged @ the new york palace hotel @link (40.7580735,-73.9752305)40432284
name: neuehouse loc:the little beet table, tweet: 674731390328561664  :  her political body at @neuehouse in new york ny @link (40.74116062,-73.9850891)14057184
name: metropolitan museum of art loc:metropolitan museum roof top garden cafe, tweet: 674736992198856704  :  tbt to the city yesterday @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)614789329
name: double dutch espresso loc:mess hall, tweet: 674737611450224640  :  words to live by @ double dutch espresso @link (40.8058357,-73.9541321)262868081
name: contra loc:wildair, tweet: 674737623055917056  :  im at @contranyc in new york ny @link (40.719937,-73.98923842)45777588
name: facebook loc:butterfield cafe, tweet: 674737814207143936  :   #holidayswithfacebook #facebook #holidays  #techwelike #nyc @ facebook ny @link (40.73069144,-73.99154129)27894564
name: momofuku ssam bar loc:durden, tweet: 674740032784216065  :  red snapper with olive green coriander and jalapeno at momofuku ssam bar at @momofuku) @link @link (40.73171833,-73.98555397)145849870
name: the milling room loc:starbucks coffee, tweet: 674740425404645376  :  celebration at @themillingroom in new york ny @link (40.78376511,-73.9746896)15997164
name: capitale loc:double crispy bakery, tweet: 674742184348925952  :  im at capitale in new york ny @link (40.71880478,-73.99501746)414152196
name: think coffee loc:fresh & co, tweet: 674746434374250496  :  coffee and work evenings current favorite thing to do @ think coffee @link (40.7331581,-73.9897461)394716538
name: candle cafe loc:mckeown's, tweet: 674747338812854273  :  always #fresh. #candlecafe #tomatoes @ candle cafe @link (40.7714043,-73.9591904)57115575
name: kgb bar loc:cucina di pesce, tweet: 674748404581466112  :  another fabulous reading wawesome authors inkwell romance night (@ kgb bar in new york ny @link (40.72641823,-73.98989839)40964217
