Loc: shanghai gourmetName: shanghai gourmet675104682034012160  :  dim sum for dinner  @ shanghai gourmet @link (40.7147408,-73.9982986)349154568
Loc: soho roomName: soho room675106555344371712  :  im at soho room in new york ny @link (40.72535853,-74.00344181)15530619
Loc: dumbo kitchenName: dumbo kitchen675107328115482625  :  im at @dumbokitchen in brooklyn ny @link (40.70164963,-73.98684525)9555772
Loc: the jeffreyName: the jeffrey675107913954914304  :  drinking a cloudbusting by @grimmales at @thejeffreynyc  @link (40.761,-73.9629)32414366
Loc: gansoName: ganso675108029487009793  :  its not cold enough for ramen but whatever at @gansonyc in brooklyn ny @link (40.6889365,-73.98326397)8044342
Loc: gramercy theatreName: gramercy theatre675108452516147200  :  #corrosionofconformity woody weatherman at @gramercytheatre @armyofonetv @ignacioorellana… @link (40.7399101,-73.9849167)96377201
Loc: blue ribbon fried chickenName: blue ribbon fried chicken675108567398154240  :   @ blue ribbon fried chicken @link (40.72436533,-73.99088065)27465925
Loc: the griffinName: the griffin675108692853919747  :  #holidaybling #edelsquad @ the griffin @link (40.7392502,-74.0068665)1217247361
Loc: double wide barName: double wide bar675108752471756800  :  im at double wide bar  southern kitchen  @doublewidenyc in new york ny @link (40.72902308,-73.98088217)24430437
Loc: one starName: one star675108803730399234  :  im at one star in new york ny @link (40.74442831,-73.99410009)20800394
Loc: the griffinName: the griffin675108883757735936  :  #boss #holidaybling @ the griffin @link (40.7392502,-74.0068665)1217247361
Loc: the griffinName: the griffin675109019384725504  :  #bosslady #edelsquad @ the griffin @link (40.7392502,-74.0068665)1217247361
Loc: the griffinName: the griffin675109268216020993  :  #holidaybling @ the griffin @link (40.7392502,-74.0068665)1217247361
Loc: quisqueya restaurantName: quisqueya restaurant675109766247669761  :  a comer jiji (@ quisqueya restaurant in corona ny @link (40.74928661,-73.86861952)207796391
Loc: dirt candyName: dirt candy675110849284055040  :  #brusselsprouttacos #nomnom @smitch_eqx #delish #emmdi @ dirt candy @link (40.7179222,-73.9907074)1116033690
Loc: salsa con fuegoName: salsa con fuego675111183570092034  :  flame on #ontheearlyside.. @twfbrucieb.. @ salsa con fuego @link (40.8622398,-73.9114227)21283880
Loc: terminal 5Name: terminal 5675111448696233984  :  missing the weekend in the city @ terminal 5 @link (40.7696991,-73.9927597)1676014609
Loc: think coffeeName: think coffee675111697779187714  :  think hot chocolate @ think coffee llc @link (40.7282066,-73.9953613)1161977354
Loc: bronx burger houseName: bronx burger house675112130673254400  :   @ bronx burger house @link (40.9047344,-73.89675535)236365065
Loc: mamajuana cafeName: mamajuana cafe675112243848159233  :  #jesseyjoy  @ mamajuana cafe nyc @link (40.8664932,-73.9281769)69622921
Loc: senor frogsName: senor frogs675113125348265984  :  nickjonathan our balloon hat guy #senorfrogs @ señor frogs nyc @link (40.756649,-73.9899979)51505742
Loc: mexican festivalName: mexican festival675113561581047809  :  #havingadrink #enjoying #redsangria #mexicanfestival #funtime @… @link (40.79828047,-73.96891281)348362289
Loc: juices for lifeName: juices for life675115140778430464  :  getting my @juicesforlife on #wheatgrassboyz #aroundtheworld #juicelife @ juice for life @link (40.8320198,-73.8270416)16548175
Loc: vezzoName: vezzo675116830336401408  :  im at vezzo thin crust pizza in new york ny w @mazi @link (40.74448928,-73.98132205)365935132
Loc: salsa con fuegoName: salsa con fuego675117100193742853  :  just posted a video @ salsa con fuego @link (40.8622398,-73.9114227)24810568
Loc: van diemensName: van diemens675117661240631297  :  @womenwerk and friends #holidayfun @ van diemens bar  kitchen @link (40.7415085,-73.9808273)2279133410
Loc: art barName: art bar675117795122745344  :  cocktails at @artbarnyc in new york ny @link (40.73858215,-74.00359675)36838719
Loc: caledoniaName: caledonia675118199940251650  :  the good stuff @ caledonia bar @link (40.7763214,-73.9532089)9836742
Loc: doughnut plantName: doughnut plant675118588219539457  :  #dessert splurge at #doughnutplant! #nyc at @doughnutplantny in new york ny @link (40.74449398,-73.99656119)236495358
Loc: reichenbach hallName: reichenbach hall675118704821170177  :  im at @reichenbachhall in new york ny @link (40.7509222,-73.98414215)1852078326
Loc: inakaName: inaka675118922555858945  :  long time (@ inaka in brooklyn ny @link (40.62519632,-74.03041676)188627828
Loc: leftfieldName: leftfield675118970165440513  :  set starts at 9 you coming @ leftfield nyc @link (40.7183418,-73.989502)21837281
Loc: mezzogiornoName: mezzogiorno675119047034408962  :  mmmmm ravioli fungi at one of my favorite places in #nyc. #food #italian #classic @ mezzogiorno @link (40.7253418,-74.0030823)14322802
Loc: san marzanoName: san marzano675120034012921857  :  cheesy pasta things with grown up 20 @beeztotheknees  #loveher #pastadate @ san marzano @link (40.7280006,-73.9884491)15505367
Loc: sweetwater restaurantName: sweetwater restaurant675120812026937344  :  im at sweetwater restaurant  @mapquest in brooklyn ny @link (40.71841145,-73.96008229)27343715
Loc: inakaName: inaka675121044311646209  :  legit @mattyd10229 its better the second day @ inaka japanese fusion @link (40.6252403,-74.0306473)188627828
Loc: sabor de cubaName: sabor de cuba675121086393118720  :  im at @sabordecubany in astoria ny @link (40.76212606,-73.91857313)292613784
Loc: legendName: legend675121855058067456  :  #hotpot #shrimp #fish #beef #scallops #glassnoodles #nyc @ legend 72 @link (40.7780685,-73.9796066)22204765
Loc: the fat radishName: the fat radish675123636500611073  :  im at @thefatradish in new york ny w @mssapone @link (40.71529324,-73.99194145)1017647282
Loc: mamajuana cafeName: mamajuana cafe675124368628916224  :  thirsty thursday traiga la buchanan (@ mamajuana cafe in bronx ny @link @link (40.83575884,-73.83274268)208834511
Loc: dramName: dram675124589173829637  :  drinking a finestkind ipa by @smuttynosebeer @ dram  @link #photo (40.7112,-73.961)190916028
Loc: bronx burger houseName: bronx burger house675124978480738305  :  night out with the nyc fam (@ bronx burger house in bronx ny @link @link (40.90460598,-73.89669847)103452571
Loc: umi no ieName: umi no ie675125114313248768  :  amazing how easy the shochu goes down at my favorite izakaya #shochu #bottlekeep #izakaya @ uminoie @link (40.72476738,-73.98815335)417634927
Loc: american whiskeyName: american whiskey675125408011042817  :  ooyala christmas party @ american whiskey @link (40.74925132,-73.99422751)22152641
Loc: pio pioName: pio pio675125632364388354  :  4 borough tour with @majahhypeworld. slide thru its lit  @ pio pio hells kitchen @link (40.760601,-73.9943466)25215875
Loc: tocqueville restaurantName: tocqueville restaurant675126200164044800  :  high class holiday party with the fiancée (@ tocqueville restaurant  @tocquevilleny in new york ny @link (40.736516,-73.99267028)23862337
Loc: doughnut plantName: doughnut plant675127037162602496  :  im at @doughnutplantny in new york ny @link (40.74449398,-73.99656119)73000498
Loc: park luncheonetteName: park luncheonette675127113578622978  :  fig  ricotta pizza  brooklyn lager this city has its benefits (@ park luncheonette  @parklunchbk) @link (40.72179475,-73.950663)15129533
Loc: cho dang golName: cho dang gol675127247125237763  :  im at cho dang gol in new york ny @link (40.75024,-73.986505)156721216
Loc: the pomeroyName: the pomeroy675127514520506375  :  im at @thepomeroynyc in new york ny @link (40.7739932,-73.90792892)265705275
Loc: basil brick ovenName: basil brick oven675128086464217088  :  homemade tiramisu #astoria #astoriablvd #sweet #basilbrickoven #nyc #pizza @ basil brick oven @link (40.7709389,-73.9199982)494359491
Loc: beauty and essexName: beauty and essex675129177885032449  :  xmas with the heads  @1000heads (@ beauty  essex  @beautyandessex in new york ny @link (40.72036369,-73.98708344)26575179
